cell,group in,group out,nuclide,mean,std. dev.
3,2,24,total,0.0,0.0
3,2,25,total,0.0,0.0
3,2,26,total,0.0,0.0
3,2,27,total,0.0,0.0
3,2,28,total,0.0,0.0
3,2,29,total,0.0,0.0
3,2,30,total,0.0,0.0
3,2,31,total,0.0,0.0
3,2,32,total,0.0,0.0
3,2,33,total,0.0,0.0
3,2,34,total,0.0,0.0
3,2,35,total,0.0,0.0
3,2,36,total,0.0,0.0
3,2,37,total,0.0,0.0
3,2,38,total,0.0,0.0
3,2,39,total,0.0,0.0
3,2,40,total,0.0,0.0
3,2,41,total,0.0,0.0
3,2,42,total,0.0,0.0
3,2,43,total,0.0,0.0
3,2,44,total,0.0,0.0
3,2,45,total,0.0,0.0
3,2,46,total,0.0,0.0
3,2,47,total,0.0,0.0
3,2,48,total,0.0,0.0
3,2,49,total,0.0,0.0
3,2,50,total,0.0,0.0
3,2,51,total,0.0,0.0
3,2,52,total,0.0,0.0
3,2,53,total,0.0,0.0
3,2,54,total,0.0,0.0
3,2,55,total,0.0,0.0
3,2,56,total,0.0,0.0
3,2,57,total,0.0,0.0
3,2,58,total,0.0,0.0
3,2,59,total,0.0,0.0
3,2,60,total,0.0,0.0
3,2,61,total,0.0,0.0
3,2,62,total,0.0,0.0
3,2,63,total,0.0,0.0
3,2,64,total,0.0,0.0
3,2,65,total,0.0,0.0
3,2,66,total,0.0,0.0
3,2,67,total,0.0,0.0
3,2,68,total,0.0,0.0
3,2,69,total,0.0,0.0
3,2,70,total,0.0,0.0
3,2,71,total,0.0,0.0
3,2,72,total,0.0,0.0
3,2,73,total,0.0,0.0
3,2,74,total,0.0,0.0
3,2,75,total,0.0,0.0
3,2,76,total,0.0,0.0
3,2,77,total,0.0,0.0
3,2,78,total,0.0,0.0
3,2,79,total,0.0,0.0
3,2,80,total,0.0,0.0
3,2,81,total,0.0,0.0
3,2,82,total,0.0,0.0
3,2,83,total,0.0,0.0
3,2,84,total,0.0,0.0
3,2,85,total,0.0,0.0
3,2,86,total,0.0,0.0
3,2,87,total,0.0,0.0
3,2,88,total,0.0,0.0
3,2,89,total,0.0,0.0
3,2,90,total,0.0,0.0
3,2,91,total,0.0,0.0
3,2,92,total,0.0,0.0
3,2,93,total,0.0,0.0
3,2,94,total,0.0,0.0
3,2,95,total,0.0,0.0
3,2,96,total,0.0,0.0
3,2,97,total,0.0,0.0
3,2,98,total,0.0,0.0
3,2,99,total,0.0,0.0
3,2,100,total,0.0,0.0
3,2,101,total,0.0,0.0
3,2,102,total,0.0,0.0
3,2,103,total,0.0,0.0
3,2,104,total,0.0,0.0
3,2,105,total,0.0,0.0
3,2,106,total,0.0,0.0
3,2,107,total,0.0,0.0
3,2,108,total,0.0,0.0
3,2,109,total,0.0,0.0
3,2,110,total,0.0,0.0
3,2,111,total,0.0,0.0
3,2,112,total,0.0,0.0
3,2,113,total,0.0,0.0
3,2,114,total,0.0,0.0
3,2,115,total,0.0,0.0
3,2,116,total,0.0,0.0
3,2,117,total,0.0,0.0
3,2,118,total,0.0,0.0
3,2,119,total,0.0,0.0
3,2,120,total,0.0,0.0
3,2,122,total,0.0,0.0
3,2,122,total,0.0,0.0
3,2,123,total,0.0,0.0
3,2,125,total,0.0,0.0
3,2,125,total,0.0,0.0
3,2,126,total,0.0,0.0
3,2,127,total,0.0,0.0
3,2,128,total,0.0,0.0
3,2,129,total,0.0,0.0
3,2,131,total,0.0,0.0
3,2,131,total,0.0,0.0
3,2,133,total,0.0,0.0
3,2,133,total,0.0,0.0
3,2,134,total,0.0,0.0
3,2,135,total,0.0,0.0
3,2,136,total,0.0,0.0
3,2,137,total,0.0,0.0
3,2,138,total,0.0,0.0
3,2,139,total,0.0,0.0
3,2,141,total,0.0,0.0
3,2,141,total,0.0,0.0
3,2,142,total,0.0,0.0
3,2,144,total,0.0,0.0
3,2,144,total,0.0,0.0
3,2,145,total,0.0,0.0
3,2,146,total,0.0,0.0
3,2,147,total,0.0,0.0
3,2,148,total,0.0,0.0
3,2,150,total,0.0,0.0
3,2,150,total,0.0,0.0
3,2,151,total,0.0,0.0
3,2,153,total,0.0,0.0
3,2,153,total,0.0,0.0
3,2,154,total,0.0,0.0
3,2,156,total,0.0,0.0
3,2,156,total,0.0,0.0
3,2,158,total,0.0,0.0
3,2,159,total,0.0,0.0
3,2,160,total,0.0,0.0
3,2,161,total,0.0,0.0
3,2,162,total,0.0,0.0
3,2,163,total,0.0,0.0
3,2,164,total,0.0,0.0
3,2,165,total,0.0,0.0
3,2,166,total,0.0,0.0
3,2,167,total,0.0,0.0
3,2,168,total,0.0,0.0
3,2,169,total,0.0,0.0
